,1064,1067,Date
149,5.1,4.4,2024-08-20 10:00:00+00:00
150,5.0,4.7,2024-08-20 11:00:00+00:00
151,4.8,4.7,2024-08-20 12:00:00+00:00
152,4.7,4.8,2024-08-20 13:00:00+00:00
153,4.5,4.7,2024-08-20 14:00:00+00:00
154,4.5,5.2,2024-08-20 15:00:00+00:00
155,4.5,5.5,2024-08-20 16:00:00+00:00
156,5.0,5.3,2024-08-20 17:00:00+00:00
157,4.8,5.3,2024-08-20 18:00:00+00:00
158,4.7,5.2,2024-08-20 19:00:00+00:00
159,5.7,5.9,2024-08-20 20:00:00+00:00
160,7.0,6.6,2024-08-20 21:00:00+00:00
161,7.0,6.9,2024-08-20 22:00:00+00:00
162,7.9,6.6,2024-08-20 23:00:00+00:00
163,8.4,7.1,2024-08-21 00:00:00+00:00
164,7.6,8.1,2024-08-21 01:00:00+00:00
165,8.6,8.8,2024-08-21 02:00:00+00:00
166,9.3,8.7,2024-08-21 03:00:00+00:00
167,9.1,6.8,2024-08-21 04:00:00+00:00
168,5.9,5.2,2024-08-21 05:00:00+00:00
169,5.9,4.9,2024-08-21 06:00:00+00:00
170,6.0,4.7,2024-08-21 07:00:00+00:00
171,6.2,4.8,2024-08-21 08:00:00+00:00
172,5.7,4.7,2024-08-21 09:00:00+00:00
173,5.2,4.5,2024-08-21 10:00:00+00:00
174,5.2,4.2,2024-08-21 11:00:00+00:00
175,5.3,4.3,2024-08-21 12:00:00+00:00
176,5.4,4.5,2024-08-21 13:00:00+00:00
177,4.7,5.3,2024-08-21 14:00:00+00:00
178,4.6,4.9,2024-08-21 15:00:00+00:00
179,4.6,5.3,2024-08-21 16:00:00+00:00
180,5.1,6.4,2024-08-21 17:00:00+00:00
181,4.3,6.2,2024-08-21 18:00:00+00:00
182,4.0,4.7,2024-08-21 19:00:00+00:00
183,4.3,3.8,2024-08-21 20:00:00+00:00
184,4.4,3.8,2024-08-21 21:00:00+00:00
185,4.1,3.5,2024-08-21 22:00:00+00:00
186,3.6,3.4,2024-08-21 23:00:00+00:00
187,3.0,3.0,2024-08-22 00:00:00+00:00
188,2.9,2.5,2024-08-22 01:00:00+00:00
189,2.9,2.3,2024-08-22 02:00:00+00:00
190,2.9,2.9,2024-08-22 03:00:00+00:00
191,2.7,2.8,2024-08-22 04:00:00+00:00
192,2.7,2.6,2024-08-22 05:00:00+00:00
193,2.4,2.3,2024-08-22 06:00:00+00:00
194,2.5,2.5,2024-08-22 07:00:00+00:00
195,2.6,2.4,2024-08-22 08:00:00+00:00
196,2.7,2.6,2024-08-22 09:00:00+00:00
197,2.6,2.7,2024-08-22 10:00:00+00:00
198,2.7,2.8,2024-08-22 11:00:00+00:00
199,2.8,2.8,2024-08-22 12:00:00+00:00
